HeatNo|QualNo|CustID|CustVer|InternalVer|Cr_Final|Ni_Final|Mo_Final|V_Final|W_Final|TotalIngotsWeight|Last_EOP|Cr_Last_EOP|Ni_Last_EOP|Mo_Last_EOP|V_Last_EOP|W_Last_EOP
81184|834|79|2|1|11.7|0.18|0.73|0.92|0.14|56000.0|2.0|11.0|0.16|0.76|0.181|0.1
81207|834|79|2|1|11.69|0.18|0.74|0.96|0.19|49440.0|3.0|9.94|0.19|0.63|0.127|0.19
81208|834|92|1|3|11.56|0.17|0.82|0.93|0.08|48830.0|3.0|11.81|0.2|0.65|0.134|0.06
81214|834|99|2|1|11.4|0.22|0.72|0.77|0.08|50400.0|2.0|10.32|0.22|0.59|0.387|0.05
81215|834|99|2|1|11.46|0.21|0.72|0.75|0.1|47380.0|2.0|11.69|0.21|0.58|0.414|0.07
81241|834|99|2|2|11.28|0.19|0.75|0.77|0.09|44400.0|2.0|10.63|0.2|0.62|0.448|0.07
81242|834|93|2|6|12.31|0.22|0.94|0.68|0.19|49440.0|2.0|10.72|0.23|0.82|0.382|0.16
81254|834|79|2|1|11.68|0.19|0.72|0.93|0.05|47600.0|2.0|10.52|0.19|0.67|0.239|0.01
81255|834|99|2|1|11.37|0.25|0.75|0.79|0.12|46350.0|2.0|11.21|0.25|0.53|0.351|0.08
81265|834|99|2|1|11.42|0.23|0.75|0.76|0.1|50400.0|2.0|0.0|0.0|0.0|0.0|0.0
81267|834|57|3|4|11.44|0.18|0.73|0.93|0.1|50060.0|2.0|10.99|0.18|0.67|0.456|0.06
81293|834|99|2|1|11.25|0.23|0.73|0.76|0.17|48410.0|2.0|10.74|0.24|0.68|0.378|0.15
81305|834|99|2|1|11.55|0.24|0.73|0.74|0.11|47380.0|2.0|11.94|0.26|0.57|0.394|0.08
81315|834|55|2|1|11.4|0.2|0.72|0.77|0.16|49000.0|3.0|10.86|0.19|0.72|0.324|0.13
81317|834|79|2|1|11.82|0.17|0.72|0.92|0.13|49440.0|3.0|10.9|0.17|0.7|0.194|0.1
81324|834|99|2|1|11.42|0.21|0.75|0.79|0.1|51800.0|2.0|9.73|0.19|0.75|0.247|0.06
81336|834|99|2|3|11.34|0.17|0.74|0.96|0.17|43850.0|3.0|0.0|0.0|0.0|0.0|0.0
81338|834|99|2|1|11.33|0.18|0.73|0.75|0.11|46350.0|2.0|10.06|0.17|0.8|0.338|0.06
81350|834|99|2|1|11.27|0.18|0.72|0.74|0.09|49000.0|2.0|10.79|0.19|0.62|0.259|0.04
